¾­¶È,Î¬¶È
117.244615,39.12299
117.244615,39.12299
117.243748,39.123213
117.243627,39.123238
117.243487,39.123277
117.243357,39.123315
117.243127,39.123373
117.243008,39.123395
117.242893,39.12342
117.242785,39.123442
117.242673,39.123458
117.242447,39.1235
117.242333,39.123518
117.242217,39.123545
117.242105,39.12357
117.241995,39.123593
117.241888,39.123617
117.24179,39.123645
117.2417,39.123673
117.241615,39.123705
117.241537,39.123735
117.241468,39.123763
117.24141,39.123793
117.241353,39.123823
117.241298,39.12385
117.241245,39.123877
117.241197,39.123903
117.24115,39.12393
117.241107,39.123958
117.241063,39.123983
117.241018,39.124013
117.240977,39.124048
117.240932,39.12409
117.240887,39.124135
117.240838,39.124182
117.240783,39.12423
117.240727,39.124283
117.240673,39.124343
117.240613,39.124398
117.240552,39.12445
117.240505,39.124503
117.240475,39.124568
117.240408,39.12465
117.240383,39.124698
117.240363,39.124747
117.240347,39.124795
117.240342,39.124853
117.240332,39.124912
117.240325,39.124975
117.24032,39.125023
117.240312,39.125095
117.240303,39.125157
117.240302,39.125188
117.240308,39.12523
117.24027,39.125257
117.240295,39.125305
117.240262,39.125335
117.240267,39.125352
117.240268,39.125368
117.24028,39.125392
117.240295,39.125432
117.240272,39.12558
117.239877,39.126445
117.239172,39.127482
117.23911,39.127572
117.239073,39.127648
117.239007,39.127805
117.238983,39.127885
117.238947,39.128013
117.238943,39.128067
117.23893,39.128125
117.238912,39.128188
117.238852,39.128413
117.238808,39.128562
117.238798,39.128577
117.238892,39.128632
117.23889,39.128667
117.238998,39.128763
117.239178,39.128987
117.23917,39.129
117.23914,39.128995
117.239115,39.128995
117.239068,39.128992
117.23903,39.128988
117.23899,39.128983
117.23895,39.128977
117.238095,39.129257
117.237997,39.129275
117.237895,39.129293
117.237793,39.1293
117.237692,39.129307
117.23759,39.129313
117.237487,39.129318
117.237385,39.129323
117.237287,39.129325
117.2372,39.129328
117.237123,39.12933
117.237063,39.129332
117.237017,39.129332
117.23698,39.12931
117.23694,39.129302
