¾­¶È,Î³¶È
116.337924,39.975353
116.337984,39.97539
116.338057,39.97541
116.338014,39.975342
116.338006,39.975414
116.337988,39.975467
116.337946,39.975528
116.337925,39.975582
116.337933,39.975508
116.337971,39.975472
116.33799,39.975496
116.337991,39.97552
116.33799,39.975559
116.337963,39.975616
116.337933,39.97571
116.337907,39.975753
116.33795,39.975911
116.33795,39.975947
116.337917,39.976003
116.337925,39.976021
116.337908,39.976004
116.337929,39.976042
116.337942,39.976061
116.337943,39.975968
116.337947,39.975859
116.33793,39.97577
116.33795,39.975681
116.337955,39.975615
116.337973,39.975537
116.337964,39.975445
116.337968,39.975339
116.337992,39.975228
116.338028,39.975139
116.338073,39.975003
116.338125,39.974889
116.338094,39.974782
116.338105,39.974687
116.33808,39.974658
116.338094,39.974661
116.3381,39.974723
116.338077,39.974748
116.338081,39.97484
116.338047,39.974953
116.338012,39.975056
116.337997,39.975147
116.338001,39.975241
116.338015,39.975359
116.338025,39.975487
116.33802,39.975593
116.338032,39.975685
116.338048,39.975782
116.33808,39.975887
116.33811,39.97598
116.338089,39.975977
116.338031,39.975908
116.338014,39.975866
116.338068,39.975785
116.338082,39.975725
116.338086,39.9757
116.338048,39.975661
116.338008,39.975593
