¾­¶È,Î³¶È
116.325763,39.996849
116.326968,39.994409
116.326629,39.995076
116.326572,39.995193
116.32648,39.995358
116.326425,39.995464
116.326402,39.995647
116.326379,39.995868
116.326359,39.996123
116.32641,39.996377
116.326393,39.996555
116.326337,39.996692
116.326232,39.996761
116.326244,39.997003
116.326237,39.997222
116.326218,39.997479
116.32626,39.997699
116.326315,39.997912
116.326331,39.998103
116.326313,39.99831
116.326294,39.998533
116.326314,39.998733
116.326337,39.998948
116.326329,39.999166
116.32633,39.999417
116.326333,39.999521
116.326287,39.999636
116.326202,39.999646
116.325983,39.999405
116.325777,39.999516
116.325661,39.999727
116.325509,39.999869
116.325225,39.99989
116.324942,39.999872
116.324633,39.999851
116.324318,39.999861
116.324037,39.999884
116.323689,39.999883
116.323383,39.999892
116.323156,39.999887
116.322976,39.999889
116.322804,39.999824
116.322658,39.999782
116.322422,39.999762
116.322091,39.99971
116.321853,39.999747
116.321787,39.999864
116.321848,40.000031
116.321859,40.000181
116.32181,40.000368
116.321746,40.000568
116.321722,40.000787
116.32174,40.000992
116.321808,40.001168
