¾­¶È,Î³¶È
117.198126,39.140321
117.198093,39.140416
117.198068,39.140514
117.198038,39.140616
117.198018,39.140713
117.198003,39.140815
117.197993,39.140913
117.197991,39.141008
117.198013,39.141119
117.19803,39.141318
117.198041,39.141418
117.198058,39.141518
117.198086,39.141621
117.198111,39.141721
117.198139,39.141821
117.198171,39.141918
117.198203,39.142015
117.198234,39.142108
117.198315,39.142294
117.198363,39.142391
117.198411,39.142488
117.198461,39.142583
117.198513,39.142678
117.19857,39.142771
117.198628,39.142864
117.198693,39.142956
117.198783,39.143063
117.198921,39.143235
117.198998,39.143313
117.199096,39.143418
117.199171,39.143508
117.19926,39.143588
117.199343,39.143661
117.199455,39.143755
117.199548,39.143826
117.199653,39.143898
117.199843,39.144033
117.199944,39.144098
117.200051,39.144158
117.200154,39.144215
117.200271,39.144285
117.20038,39.144334
117.200494,39.144385
117.200613,39.144433
117.200728,39.144483
117.200954,39.144575
117.20107,39.144616
117.201186,39.144661
117.201306,39.144706
117.201428,39.14475
117.20154,39.144796
117.201651,39.144839
117.201766,39.144884
117.201886,39.144923
117.202119,39.145001
117.202243,39.145038
117.202363,39.145071
117.202491,39.145094
117.20262,39.145114
117.202748,39.145141
117.202868,39.145173
117.202991,39.145213
117.203118,39.145246
117.203379,39.145324
117.203518,39.145365
117.203664,39.145401
