¾­¶È, Î³¶È
117.218131,39.136709
117.218131,39.136718
117.21813,39.136728
117.218128,39.136739
117.218118,39.136763
117.218069,39.136831
117.218028,39.136895
117.217923,39.137036
117.217878,39.137101
117.217831,39.137173
117.217776,39.137255
117.217728,39.137336
117.217683,39.137399
117.217611,39.137474
117.217546,39.137568
117.217481,39.13767
117.217361,39.137841
117.217308,39.137918
117.217258,39.137978
117.217211,39.138046
117.217171,39.138111
117.217133,39.138176
117.2171,39.138235
117.21707,39.138269
117.217043,39.138308
117.217011,39.138368
117.217003,39.138383
117.216995,39.138403
117.216993,39.138405
117.216996,39.138394
117.217001,39.13838
117.217001,39.138378
117.217003,39.138375
117.217004,39.138371
117.217006,39.138368
117.217008,39.138366
117.217009,39.138363
117.217009,39.138361
117.217011,39.13836
117.217011,39.138358
117.217013,39.138356
117.217011,39.138358
117.217006,39.138363
117.216968,39.138425
117.216938,39.138453
117.216901,39.138471
117.216853,39.138518
117.216806,39.138544
117.216754,39.138565
117.216701,39.138566
117.216631,39.138573
117.216551,39.138566
117.216376,39.13855
117.216283,39.138541
