¾­¶È,Î³¶È
116.370017,39.907414
116.370074,39.907374
116.37036,39.907027
116.370415,39.907006
116.370454,39.907014
116.370534,39.907008
116.370624,39.906936
116.370794,39.906806
116.370909,39.906793
116.370958,39.906795
116.371029,39.906769
116.371056,39.906813
116.371095,39.906864
116.371141,39.906891
116.371178,39.906896
116.371251,39.906914
116.371313,39.9069
116.371375,39.90691
116.371432,39.906925
116.371477,39.906932
116.371526,39.906959
116.371584,39.906992
116.371673,39.907005
116.371748,39.906996
116.371831,39.906996
116.371876,39.907018
116.37189,39.907054
116.371898,39.907097
116.371955,39.907154
116.371999,39.907173
116.372037,39.907216
116.372081,39.907228
116.372126,39.907245
116.372225,39.90725
116.372296,39.907234
116.372368,39.907225
116.372445,39.907199
116.372502,39.907157
116.372553,39.907137
116.372599,39.907194
116.372634,39.907217
116.372669,39.907226
116.372718,39.90725
116.372796,39.907231
116.372845,39.907259
116.372906,39.907261
116.372973,39.907227
116.373009,39.907225
116.37304,39.907215
116.373096,39.90724
116.373124,39.907294
116.373163,39.907313
116.373175,39.907391
116.373195,39.907422
116.373237,39.907434
116.373304,39.907429
116.373375,39.90746
116.373452,39.907459
116.37352,39.90748
116.373566,39.907487
116.374616,39.906345
116.374711,39.906281
116.374798,39.906229
116.374856,39.90626
116.374961,39.906248
116.374992,39.906196
116.375031,39.906187
116.375072,39.906209
116.375111,39.906219
116.375135,39.90621
116.375148,39.906211
116.375258,39.906147
116.375284,39.906133
116.3753,39.906134
116.375351,39.906122
116.375408,39.906129
116.37546,39.906143
116.375547,39.906133
116.375616,39.906126
116.375697,39.90613
116.375791,39.906123
116.375868,39.906113
116.375911,39.906115
116.37595,39.906116
116.375976,39.906141
116.376023,39.906129
116.376071,39.906108
116.376116,39.906114
116.376161,39.906133
116.376193,39.90614
116.376237,39.906132
116.376313,39.906118
116.376416,39.906111
116.3765,39.906112
116.376565,39.906106
116.376628,39.906095
116.376701,39.906112
116.376781,39.906088
116.376862,39.906066
116.376876,39.906052
116.376899,39.906046
116.376991,39.906044
116.377071,39.906042
116.377138,39.906044
116.377192,39.906039
116.377269,39.906056
116.377318,39.906079
116.377388,39.906085
