 ¾­¶È,Î³¶È
116.342775,39.968004
116.342387,39.967749
116.342451,39.967807
116.342375,39.96782
116.342241,39.967791
116.342214,39.967688
116.342233,39.96759
116.342248,39.967496
116.342246,39.967394
116.342228,39.967308
116.342167,39.967254
116.342125,39.967239
116.34213,39.967229
116.342134,39.967219
116.342137,39.967213
116.342136,39.967213
116.342136,39.967213
116.342139,39.967205
116.342142,39.967195
116.342141,39.967127
116.342142,39.96702
116.342144,39.966952
116.342174,39.966847
116.342197,39.966754
116.342204,39.966631
116.342136,39.966545
116.341962,39.966524
116.341758,39.966526
116.34164,39.966523
116.341519,39.966524
116.34139,39.966525
116.341246,39.966522
116.341098,39.966513
116.340948,39.966509
116.340789,39.966499
116.340616,39.966491
116.340441,39.966484
116.340255,39.96647
116.340059,39.966472
116.33985,39.96647
116.339638,39.966473
116.339423,39.966473
116.339201,39.966474
116.338982,39.96647
116.338763,39.966466
116.338542,39.966462
116.338314,39.966461
116.338084,39.966458
116.337854,39.966447
116.337629,39.966423
116.337413,39.966417
116.337189,39.96641
116.336968,39.966407
116.336761,39.966404
116.336561,39.966404
116.336366,39.966405
116.336166,39.966404
116.335971,39.966402
116.335782,39.966403
116.335592,39.966401
116.335403,39.966401
116.335218,39.966396
116.335032,39.9664
116.334846,39.966404
116.334665,39.96641
116.334495,39.966412
116.334347,39.966416
116.334211,39.966412
116.334093,39.966403
116.333898,39.96639
116.333716,39.966376
116.333526,39.966337
116.333445,39.966252
116.333363,39.966183
116.333473,39.966152
116.333635,39.966177
116.333838,39.966196
116.334085,39.966202
116.334267,39.966202
116.334469,39.966203
116.334685,39.966215
116.334907,39.96622
116.335165,39.966246
116.335347,39.966247
116.335542,39.966241
116.335759,39.966242
116.335989,39.96625
116.336353,39.966192
116.336613,39.966169
116.336833,39.966157
116.337049,39.966159
116.337271,39.966153
116.337506,39.966143
116.337741,39.966137
116.337966,39.966143
116.33819,39.966153
116.338408,39.966156
